CATAGORY,DOC_TYPE,DESCRIPT,OPENPDF,PATH,TAGS,SRNO,TYPE,FORM
3,DAILY CASH REPORTS,"THIS REPORT SHOWS YOU AT THE START OF DAY WHAT IS OPENING BALANCE ,TOTAL DAY CASH TRANSACTION AND IT",                  99,Reports > List  >,,0,H,
3,STOCK OUT ENTRY REPORT,IF BCOZ OF CERTAIN REASON YOU DID STOCK OUT THEN THIS REPORT WILL GIEVS YOU LIST OF ALL STOUCKED OUT,                 100,Reports > List  >,,0,H,
3,VOUCHER LIST,"THIS REPORT SHOWS YOU LIST OF ALL VHOUCHER NO WITH ITS TYPE LIKE CASH RECEIPT,CHEQUE RECEIPT, DEBIT",                 101,Reports > List  >,,0,H,
3,PARTYWISE ALL VOUCHERS,"USING THIS OPTION YOU CAN GET PARTYWISE VHOUCHER NO OF CASH RECEIPT,CHEQUE RECEIPT,CAHH PAID,CHEQUE",                 102,Reports > List  >,,0,H,
3,PENDING ORDER LIST(PRODUCTWISE,\\,                 103,Reports > List  >,,0,H,
3,LOCKED STATEMENT/CC PARTYS,THIS OPTION SHOWS YOU PENDING STATEMENTS /CC WITH AMOUNT BALANCE &  ALLOWED STATEMENTS/CC,                 104,Reports > List  >,,0,H,
2,SALES,ALL THE REPORTS RELATED TO SALE DONE ARE PROVIDED BELOW:,                 105,Reports >,,0,H,
3,COMPANY-PRODUCTWISE,HERE YOU CAN VIEW LIST OF ALL PRODUCTS SOLD OF PARTICULAR COMPANY,                 106,Reports > Sales >,,0,H,
3,COMPANY-PARTYWISE,IT PROVIDES FOLLOWING TWO OPTIONS:,                 107,Reports > Sales >,,0,H,
4,DETAIL,TO VIEW SALE OF PARTICULAR COMPANY ALONGWITH PARTY AND PRODUCT DETAILS,                 108,Reports > Sales > Company-Partywise >,,0,H,
4,SUMMARY,TO VIEW SALE OF PARTICULAR COMPANY ALONGWITH PARTY AND PRODUCT AMOUNT DETAILS,                 109,Reports > Sales > Company-Partywise >,,0,H,
3,COMPANYWISE SALE,HERE YOU CAN VIEW THE ANNUAL SALE OF COMPANY MONTHWISE.,                 110,Reports > Sales >,,0,H,
3,COMPANY-AREA WISE SUMMARY,THIS REPORT DISPLAYS ALL THE AREAS IN WHICH COMPANY PRODUCTS HAS BEEN SOLD ALONGWITH AMOUNT,                 111,Reports > Sales >,,0,H,
3,COMPANY-AREA WISE DETAIL,TO VIEW SALE OF MULTIPLE COMPANIES FOR SPECIFIC PERIOD,                 112,Reports > Sales >,,0,H,
3,COMAPANY-AREA-PARTY-ANALYSIS,TO VIEW THE SALE OF MULITPLE COMPANIES IN ANY AREA USE THIS REPORT.,                 113,Reports > Sales >,,0,H,
3,COMPANY ALL AREA ALL PRODUCT,HERE YOU GET A LIST OF ALL THE PRODUCTS SOLD IN VARIOUS AREAS UPTIL SPECIFIED DATE,                 114,Reports > Sales >,,0,H,
3,COMPANY BILL WISE TOTAL,TO CHECK THE SALE OF COMPANY ALONGWITH SALE BILLS,                 115,Reports > Sales >,,0,H,
3,COMPANY PRODUCTWISE WITH PUR D,TO CHECK THE SALE OF COMPANY ALONGWITH SALE AND PURCHASE BILLS,                 116,Reports > Sales >,,0,H,
3,PRODUCT-PARTY WISE,TO VIEW SALE OF ALL PRODUCT OR PARTICULAR PRODUCTS PARTYWISE FOLLOWING TWO REPORTS ARE PROVIDED:,                 117,Reports > Sales >,,0,H,
4,PRODUCTWISE,TO VIEW SALE OF PARTICULAR PRODUCT EITHER BY SALE RATE OR PURCH RATE OR M.R.P REFER THIS REPORT,                 118,Reports > Sales >  Product-Partywise >,,0,H,
4,ALL PRODUCTS,TO VIEW ALL THE PRODUCTS SOLD IN SPECIFIED PERIOD ALONGWITH SALE BILLS,                 119,Reports > Sales >  Product-Partywise >,,0,H,
3,PRODUCT-BATCH WISE,TO VIEW SALE OF ALL PRODUCT OR PARTICULAR PRODUCTS BATCHWISE FOLLOWING TWO REPORTS ARE PROVIDED:,                 120,Reports > Sales >,,0,H,
4,ALL PRODUCTS,TO VIEW ALL THE PRODUCTS SOLD IN SPECIFIED PERIOD ALONGWITH SALE BILLS AND BATCH NO,                 121,Reports > Sales >  Product-Batchwise >,,0,H,
4,PARTICULAR PRODUCTS,HERE YOU CAN CHECK SALE OF PARTICULAR PRODUCT BATCHWISE ALONGWITH SALEBILL,                 122,Reports > Sales >  Product-Batchwise >,,0,H,
3,PARTY PRODUCTWISE(SINGLE PRODU,TO CHECK HOW MANY TIMES A PARTICULAR PRODUCT HAS BEEN SOLD TO PARTICULAR PARTY REFER THIS REPORT,                 123,Reports > Sales >,,0,H,
3,PARTY MULTI  COMPANY SALES,TO CHECK PRODUCTS OF VARIOUS COMPANIES SOLD TO PARTICULAR PARTY,                 124,Reports > Sales >,,0,H,
3,PARTY-PRODUCT WISE,TO VIEW ALL THE PRODUCTS SOLD TO PARTICULAR PARTY IN SPECIFIED PERIOD ALONGWITH BILL DETAILS,                 125,Reports > Sales >,,0,H,
3,PARTYWISE SALE,HERE YOU CAN VIEW TOTAL AMOUNT OF SALE DONE TO A SPECIFIC PARTY FOR SPECIFIED PERIOD,                 126,Reports > Sales >,,0,H,
3,PARTYWISE ALL PRODUCT,TO VIEW ALL THE PRODUCTS SOLD TO PARTICULAR PARTY IN SPECIFIED PERIOD ALONGWITH SCHEME AND QUANTITY,                 127,Reports > Sales >,,0,H,
3,PARTYWISE SALE(ALL),HERE YOU CAN VIEW TOTAL AMOUNT OF SALE DONE IN SPECIFIED PERIOD,                 128,Reports > Sales >,,0,H,
3,PARTYWISE STATEMENT ANALYSIS,TO VIEW TOTAL SALE OF ALL THE PARTIES WHOSE STATEMENTS HAS BEEN GENERATED,                 129,Reports > Sales >,,0,H,
3,STOCK & SALE,\\,                 130,Reports > Sales >,,0,H,
